analysis_name;range;ranking;player_name;overall_rating
Altura;155-170;1;Lionel Messi;94
Altura;155-170;2;Andres Iniesta;88
Altura;155-170;3;Philipp Lahm;87
Altura;155-170;4;Alexis Sanchez;86
Altura;155-170;5;David Silva;86
Altura;155-170;6;Franck Ribery;86
Altura;171-185;1;Cristiano Ronaldo;93
Altura;171-185;2;Luis Suarez;90
Altura;171-185;3;Neymar;90
Altura;171-185;4;Arjen Robben;89
Altura;171-185;5;Eden Hazard;88
Altura;171-185;6;Mesut Oezil;88
Altura;185-210;1;Manuel Neuer;90
Altura;185-210;2;Zlatan Ibrahimovic;89
Altura;185-210;3;David De Gea;87
Altura;185-210;4;Jerome Boateng;87
Altura;185-210;5;Giorgio Chiellini;86
Altura;185-210;6;Karim Benzema;86
